subscription_id,customer_id,platform,start_date,end_date,price,plan_type,status
1,810,SonyLIV,19-02-2025,24-03-2026,149,Yearly,Expired
2,4687,Disney+ Hotstar,17-07-2024,06-05-2026,99,Quarterly,Active
3,4280,Amazon Prime,22-02-2025,10-12-2025,199,Quarterly,Expired
4,1650,Disney+ Hotstar,08-07-2024,23-02-2026,149,Monthly,Expired
5,1561,SonyLIV,23-12-2024,07-12-2025,499,Yearly,Active
6,5856,SonyLIV,27-04-2025,19-02-2026,199,Quarterly,Active
7,750,Zee5,01-04-2025,17-02-2026,99,Quarterly,Active
8,313,SonyLIV,22-05-2025,01-01-2026,499,Quarterly,Active
9,1744,Zee5,13-01-2025,11-03-2026,499,Monthly,Active
10,207,SonyLIV,22-03-2024,10-05-2026,299,Monthly,Active
11,3982,Amazon Prime,02-09-2024,21-02-2026,99,Monthly,Active
12,5845,Zee5,22-07-2024,27-04-2026,199,Monthly,Expired
13,3560,Amazon Prime,24-08-2025,07-05-2026,499,Quarterly,Active
14,843,Amazon Prime,01-12-2023,06-01-2026,149,Quarterly,Expired
15,3554,Netflix,08-01-2024,26-03-2026,149,Quarterly,Expired
16,2701,Zee5,10-08-2024,05-02-2026,299,Quarterly,Expired
17,5184,Amazon Prime,29-12-2023,25-12-2025,299,Quarterly,Active
18,4725,Amazon Prime,13-06-2025,03-12-2025,99,Yearly,Expired
19,680,Netflix,23-02-2025,01-03-2026,99,Yearly,Active
20,2933,Amazon Prime,20-01-2024,03-04-2026,149,Yearly,Expired
21,1243,Disney+ Hotstar,19-11-2024,25-01-2026,499,Monthly,Active
22,2014,Zee5,14-08-2025,17-01-2026,499,Yearly,Active
23,1463,SonyLIV,31-07-2024,21-12-2025,99,Yearly,Active
24,4532,SonyLIV,26-11-2025,08-03-2026,499,Monthly,Active
25,5727,Disney+ Hotstar,15-06-2025,11-01-2026,499,Quarterly,Active
26,3858,SonyLIV,09-09-2024,15-01-2026,99,Quarterly,Active
27,20,SonyLIV,29-07-2025,30-11-2025,199,Quarterly,Active
28,737,Disney+ Hotstar,26-05-2025,05-02-2026,149,Quarterly,Active
29,5446,Amazon Prime,01-12-2024,30-03-2026,299,Yearly,Expired
30,5963,Disney+ Hotstar,02-08-2024,30-04-2026,199,Monthly,Active
31,2013,Amazon Prime,16-03-2024,02-01-2026,199,Monthly,Expired
32,5774,SonyLIV,30-04-2024,18-02-2026,149,Quarterly,Active
33,5784,SonyLIV,26-12-2024,29-01-2026,299,Yearly,Active
34,3798,Amazon Prime,04-01-2025,06-03-2026,149,Yearly,Expired
35,3926,Zee5,13-08-2025,08-02-2026,299,Yearly,Active
36,2718,SonyLIV,23-08-2025,12-04-2026,499,Quarterly,Expired
37,4072,Amazon Prime,18-01-2024,17-01-2026,299,Yearly,Active
