call_id,customer_id,call_date,duration_minutes,call_type,location_city,location_state,network_quality
1,3104,11-04-2025 01:23,6.86,Outgoing,Hillville,Iowa,Poor
2,99,10-01-2025 09:20,6.51,Incoming,South Andrewfort,California,Good
3,4632,01-03-2025 06:51,0.92,Outgoing,South Beth,Indiana,Poor
4,3447,30-01-2025 14:43,5.91,Incoming,New Makaylaborough,Washington,Good
5,5167,20-05-2025 20:45,6.87,Outgoing,Rodriguezchester,Delaware,Average
6,1859,29-03-2025 20:47,0.38,Outgoing,Lake Robertville,South Dakota,Good
7,5578,24-01-2025 09:06,7.17,Incoming,Walkerberg,West Virginia,Good
8,3631,06-04-2025 21:03,15.18,Incoming,Debraville,North Carolina,Poor
9,230,23-07-2025 05:25,15.12,Outgoing,Taraburgh,Pennsylvania,Average
10,377,31-07-2025 02:16,0.45,Incoming,Danielberg,Rhode Island,Average
11,1089,13-09-2025 07:15,1.09,Incoming,Jessicafurt,Florida,Average
12,4732,22-11-2025 15:06,18.7,Outgoing,Port Shannon,Alaska,Average
13,4783,31-03-2025 18:44,9.81,Outgoing,Johnburgh,Nebraska,Average
14,1652,16-11-2025 22:28,17.98,Incoming,North Jesusbury,New Mexico,Good
15,3070,10-03-2025 07:46,10.51,Outgoing,New Kendra,Nevada,Good
16,1799,13-11-2025 15:56,4.47,Incoming,East Brittanyland,Massachusetts,Good
17,3172,11-09-2025 08:57,10.55,Outgoing,Brewerburgh,Alabama,Good
18,1919,25-08-2025 04:41,14.71,Outgoing,Johnsonshire,Kansas,Poor
19,2951,27-09-2025 13:08,6.37,Incoming,North Christina,West Virginia,Poor
20,4842,14-05-2025 07:06,14.33,Outgoing,Hartmanfort,Maine,Good
21,4025,22-03-2025 21:52,6.65,Outgoing,Port Spencer,Texas,Poor
22,5471,16-04-2025 05:01,1.07,Incoming,Ashleyland,Georgia,Good
23,5868,16-09-2025 05:15,7.13,Outgoing,Justinberg,North Carolina,Average
24,1591,07-06-2025 03:50,15.27,Incoming,Gomezside,Maine,Good
25,469,15-08-2025 21:15,6.25,Outgoing,Heatherfort,New York,Poor
26,880,04-05-2025 06:37,17.57,Incoming,Lake Jaime,Oklahoma,Average
27,3627,28-05-2025 00:46,8.71,Incoming,Ashleymouth,South Dakota,Good
28,1076,26-01-2025 15:36,1.93,Outgoing,South Dianachester,Tennessee,Poor
29,1497,02-12-2024 22:26,9.75,Incoming,South Charles,South Carolina,Average
30,3730,03-06-2025 00:38,4.89,Incoming,Joshualand,South Dakota,Poor
31,2095,12-01-2025 18:32,8.96,Outgoing,Hartshire,Washington,Good
32,2413,16-01-2025 19:20,17.67,Outgoing,Nguyenside,South Dakota,Average
33,2504,19-01-2025 04:51,9.83,Outgoing,Moonhaven,Alabama,Good
34,5022,09-01-2025 17:43,8.3,Outgoing,West Dannyland,Wyoming,Average
35,5024,14-08-2025 16:02,12.78,Outgoing,Lake Veronicaview,Utah,Average
36,450,22-02-2025 11:26,19.9,Outgoing,South Terri,Delaware,Poor
37,703,18-09-2025 05:06,4.12,Outgoing,Reillyside,Wisconsin,Good
38,4950,24-04-2025 07:49,5.64,Outgoing,Jessicahaven,Wyoming,Poor
39,2084,13-10-2025 04:37,10.16,Outgoing,Pamelaville,Alabama,Poor
40,276,26-11-2025 07:32,7.96,Incoming,Port Tracyhaven,California,Average
41,1067,01-11-2025 19:43,15.62,Outgoing,Port Stanleybury,Colorado,Average
42,5914,22-06-2025 18:35,13.76,Outgoing,Timmouth,Kansas,Average
43,1526,31-07-2025 21:09,10.72,Incoming,Gilbertfurt,Iowa,Average
44,4097,12-01-2025 07:18,8.36,Incoming,East Terry,Georgia,Good
45,4003,08-12-2024 21:03,11.33,Outgoing,West Richard,Tennessee,Good
46,1318,09-12-2024 11:39,7.1,Outgoing,Millerberg,North Dakota,Average
47,441,30-08-2025 11:36,13.45,Incoming,Simonstad,New Hampshire,Poor
48,5439,19-09-2025 11:49,17.31,Outgoing,Jenniferburgh,Florida,Average
49,5665,12-08-2025 07:53,17.37,Incoming,Lake Juan,Arkansas,Average
50,1157,03-10-2025 02:30,11.6,Outgoing,Kellyberg,Florida,Good
51,608,01-02-2025 01:22,0.6,Outgoing,Davidfurt,West Virginia,Average
52,3667,01-10-2025 15:25,2.88,Outgoing,South Jonathanshire,Maryland,Good
53,2727,28-06-2025 06:56,10.2,Incoming,Tinahaven,Nebraska,Average
54,2723,30-03-2025 02:19,9.39,Outgoing,Fosterbury,Michigan,Good
