complaint_id,customer_id,complaint_date,category,description,status,priority,agent
1,5030,05-09-2024,Billing Issue,Sample complaint description,Open,Medium,Aaron
2,3737,10-04-2024,SIM Issue,Sample complaint description,In Progress,Medium,Joe
3,5912,31-03-2025,Other,Sample complaint description,In Progress,Medium,Robert
4,1135,19-01-2024,Billing Issue,Sample complaint description,Closed,Medium,Megan
5,4398,31-12-2023,Network Issue,Sample complaint description,In Progress,Medium,Clinton
6,1719,13-01-2024,SIM Issue,Sample complaint description,Open,Low,Peter
7,4680,07-07-2024,Network Issue,Sample complaint description,Open,High,Shawn
8,3227,16-01-2024,Other,Sample complaint description,Open,High,Brandi
9,4561,26-01-2025,Billing Issue,Sample complaint description,Closed,High,Matthew
10,1423,28-06-2024,Network Issue,Sample complaint description,Closed,Medium,Diana
11,332,22-08-2024,Other,Sample complaint description,Open,Medium,Raymond
12,1427,15-02-2024,SIM Issue,Sample complaint description,Closed,Low,Roger
13,963,10-02-2024,Billing Issue,Sample complaint description,Open,High,Tyler
14,2439,16-01-2025,SIM Issue,Sample complaint description,Open,Low,Charles
15,5795,17-04-2025,SIM Issue,Sample complaint description,Closed,Medium,Kristi
16,4338,27-04-2025,Billing Issue,Sample complaint description,Closed,Low,Kimberly
17,4162,13-02-2024,Other,Sample complaint description,Open,High,Steven
18,3308,19-12-2023,SIM Issue,Sample complaint description,In Progress,Medium,Daniel
19,4953,20-11-2025,Billing Issue,Sample complaint description,In Progress,Medium,Anthony
20,4957,04-07-2024,Billing Issue,Sample complaint description,Open,Medium,Brian
21,273,19-12-2023,Billing Issue,Sample complaint description,Open,Low,John
22,5482,12-12-2023,Billing Issue,Sample complaint description,Open,High,Michele
23,4836,25-02-2024,Billing Issue,Sample complaint description,In Progress,Low,Brian
24,1161,31-10-2024,Network Issue,Sample complaint description,In Progress,Low,Kevin
25,3547,06-08-2024,SIM Issue,Sample complaint description,In Progress,High,Johnathan
26,4594,22-03-2024,Billing Issue,Sample complaint description,Open,High,Ann
27,5744,01-04-2024,Billing Issue,Sample complaint description,In Progress,High,Stanley
28,197,17-10-2025,Other,Sample complaint description,In Progress,Medium,Stephen
29,4243,24-10-2025,Network Issue,Sample complaint description,In Progress,High,Lacey
30,3558,28-07-2024,SIM Issue,Sample complaint description,Closed,Medium,Andrew
31,2496,10-03-2024,Other,Sample complaint description,In Progress,High,Paul
32,3980,02-03-2025,Network Issue,Sample complaint description,In Progress,High,Richard
33,788,06-07-2025,Network Issue,Sample complaint description,Open,Low,Stephanie
34,905,26-03-2025,Other,Sample complaint description,Open,Low,Edward
35,2215,06-11-2025,Billing Issue,Sample complaint description,Open,High,Mitchell
36,5007,19-12-2024,SIM Issue,Sample complaint description,In Progress,Low,Kevin
37,4757,05-10-2024,Other,Sample complaint description,Open,Low,William
38,2302,10-02-2025,SIM Issue,Sample complaint description,In Progress,High,Jessica
39,5391,25-10-2024,SIM Issue,Sample complaint description,Open,Low,Denise
40,3484,13-09-2025,Billing Issue,Sample complaint description,Closed,Medium,Wendy
41,5918,11-01-2025,Network Issue,Sample complaint description,Closed,Low,Theresa
42,1802,29-10-2025,Network Issue,Sample complaint description,Open,High,Aaron
43,1538,10-07-2025,Other,Sample complaint description,In Progress,Low,Ashley
