plan_id,plan_name,price,validity_days,data_per_day_gb,sms_per_day,unlimited_calls,plan_type
1,Airtel 299,499,56,3,200,FALSE,Postpaid
2,Airtel 299,199,84,1,300,FALSE,Prepaid
3,Airtel 299,499,28,2,100,FALSE,Prepaid
4,Airtel 299,499,56,1,100,TRUE,Postpaid
5,Airtel 199,599,56,1,300,TRUE,Postpaid
6,Airtel 499,399,84,1,100,FALSE,Postpaid
7,Airtel 499,599,84,2,300,TRUE,Prepaid
8,Airtel 499,599,28,1,200,FALSE,Postpaid
9,Airtel 299,599,28,1,200,FALSE,Prepaid
10,Airtel 199,499,56,1,300,TRUE,Postpaid
11,Airtel 199,599,56,1.5,100,TRUE,Prepaid
12,Airtel 399,199,84,1,300,FALSE,Postpaid
13,Airtel 299,199,28,1,300,FALSE,Postpaid
14,Airtel 299,399,84,2,200,FALSE,Prepaid
15,Airtel 499,199,56,1.5,300,TRUE,Postpaid
16,Airtel 199,399,28,1,200,TRUE,Prepaid
17,Airtel 199,199,28,1.5,200,FALSE,Prepaid
18,Airtel 299,299,28,1.5,100,TRUE,Postpaid
19,Airtel 299,399,56,2,300,FALSE,Prepaid
20,Airtel 499,599,56,2,200,FALSE,Postpaid
21,Airtel 299,199,56,1.5,100,FALSE,Prepaid
22,Airtel 199,399,84,2,300,TRUE,Postpaid
23,Airtel 299,599,56,1,300,FALSE,Prepaid
24,Airtel 499,299,56,1.5,300,TRUE,Prepaid
25,Airtel 499,399,28,2,300,TRUE,Prepaid
26,Airtel 499,299,28,2,300,TRUE,Postpaid
27,Airtel 299,299,84,3,200,TRUE,Postpaid
28,Airtel 299,399,28,1.5,100,TRUE,Postpaid
29,Airtel 299,199,56,1.5,200,FALSE,Prepaid
30,Airtel 199,299,28,1.5,300,FALSE,Prepaid
31,Airtel 299,199,84,1,200,FALSE,Prepaid
32,Airtel 499,299,28,1.5,300,FALSE,Prepaid
33,Airtel 299,399,56,2,200,FALSE,Prepaid
34,Airtel 199,299,56,3,100,TRUE,Prepaid
35,Airtel 399,299,56,1,200,FALSE,Postpaid
36,Airtel 399,399,56,1.5,200,TRUE,Prepaid
37,Airtel 199,499,28,1.5,200,TRUE,Postpaid
38,Airtel 199,199,28,1.5,300,TRUE,Prepaid
39,Airtel 499,499,84,3,300,FALSE,Prepaid
40,Airtel 399,399,56,1.5,100,TRUE,Postpaid
41,Airtel 399,299,28,1,300,TRUE,Postpaid
42,Airtel 399,599,28,3,300,TRUE,Postpaid
43,Airtel 299,199,84,1,200,TRUE,Prepaid
44,Airtel 399,399,56,1.5,300,TRUE,Prepaid
45,Airtel 499,199,84,3,200,FALSE,Postpaid
46,Airtel 399,499,84,1,300,FALSE,Postpaid
47,Airtel 399,599,56,1,200,FALSE,Prepaid
48,Airtel 199,499,56,3,100,FALSE,Postpaid
49,Airtel 399,399,84,2,100,TRUE,Postpaid
50,Airtel 199,399,56,2,200,TRUE,Prepaid
51,Airtel 199,299,56,3,200,TRUE,Postpaid
52,Airtel 299,299,84,1,100,FALSE,Postpaid
53,Airtel 199,299,84,3,200,FALSE,Postpaid
54,Airtel 299,499,56,1,200,TRUE,Postpaid
55,Airtel 199,599,84,3,100,TRUE,Prepaid
56,Airtel 199,599,84,3,100,TRUE,Prepaid
57,Airtel 499,299,84,3,100,FALSE,Prepaid
58,Airtel 199,299,84,1,300,FALSE,Postpaid
59,Airtel 299,199,84,2,200,TRUE,Prepaid
60,Airtel 399,499,56,1.5,200,TRUE,Prepaid
61,Airtel 499,499,84,1.5,200,TRUE,Postpaid
62,Airtel 199,599,28,1,200,FALSE,Prepaid
63,Airtel 399,499,84,1,200,FALSE,Postpaid
64,Airtel 299,599,84,2,100,FALSE,Postpaid
65,Airtel 499,599,84,2,100,FALSE,Postpaid
66,Airtel 399,399,28,3,100,FALSE,Prepaid
67,Airtel 499,299,56,2,100,TRUE,Postpaid
68,Airtel 199,399,28,1,100,FALSE,Postpaid
69,Airtel 399,599,84,2,100,FALSE,Postpaid
70,Airtel 399,599,56,3,200,TRUE,Postpaid
71,Airtel 399,499,84,2,100,FALSE,Prepaid
72,Airtel 199,499,84,1,100,TRUE,Postpaid
73,Airtel 499,599,56,3,100,FALSE,Prepaid
74,Airtel 399,399,84,1.5,200,FALSE,Prepaid
75,Airtel 299,299,84,1.5,100,FALSE,Prepaid
76,Airtel 499,399,56,3,300,FALSE,Prepaid
77,Airtel 299,399,28,3,300,TRUE,Prepaid
78,Airtel 299,399,28,2,200,FALSE,Postpaid
79,Airtel 499,399,28,2,300,TRUE,Prepaid
80,Airtel 399,199,84,2,100,TRUE,Prepaid
81,Airtel 499,299,84,2,300,FALSE,Postpaid
82,Airtel 199,299,28,1.5,100,TRUE,Prepaid
83,Airtel 499,199,28,1,100,FALSE,Postpaid
84,Airtel 399,199,28,1.5,300,FALSE,Postpaid
85,Airtel 399,199,28,3,200,TRUE,Postpaid
86,Airtel 499,499,84,3,200,TRUE,Prepaid
87,Airtel 199,499,56,2,100,TRUE,Postpaid
88,Airtel 499,299,56,3,300,TRUE,Prepaid
89,Airtel 499,399,84,2,200,TRUE,Prepaid
90,Airtel 299,499,84,3,200,TRUE,Prepaid
91,Airtel 499,199,56,2,300,FALSE,Postpaid
92,Airtel 199,599,84,3,100,FALSE,Prepaid
93,Airtel 199,499,56,2,300,TRUE,Prepaid
94,Airtel 299,599,28,3,100,FALSE,Postpaid
95,Airtel 499,499,28,1.5,100,FALSE,Prepaid
96,Airtel 399,299,84,3,200,FALSE,Prepaid
97,Airtel 399,199,28,1,100,TRUE,Postpaid
98,Airtel 499,599,56,3,300,TRUE,Prepaid
99,Airtel 399,599,56,1,300,TRUE,Prepaid
100,Airtel 299,499,28,1,300,FALSE,Postpaid
101,Airtel 399,199,56,1,100,TRUE,Prepaid
102,Airtel 199,299,84,1,100,TRUE,Prepaid
103,Airtel 299,199,84,1.5,200,TRUE,Prepaid
104,Airtel 299,399,56,1.5,300,TRUE,Prepaid
105,Airtel 399,199,84,1.5,300,TRUE,Postpaid
106,Airtel 499,599,56,3,300,TRUE,Postpaid
107,Airtel 199,599,28,2,300,FALSE,Postpaid
108,Airtel 499,199,56,1,100,FALSE,Postpaid
109,Airtel 399,399,56,2,300,TRUE,Prepaid
110,Airtel 399,399,84,1,300,FALSE,Postpaid
111,Airtel 499,199,56,2,100,TRUE,Postpaid
112,Airtel 299,199,28,3,100,TRUE,Postpaid
113,Airtel 299,399,56,3,300,FALSE,Prepaid
114,Airtel 499,499,28,1,300,FALSE,Prepaid
115,Airtel 299,599,28,1,200,FALSE,Prepaid
116,Airtel 299,299,84,2,100,TRUE,Postpaid
117,Airtel 199,199,28,3,200,FALSE,Postpaid
118,Airtel 199,199,84,2,300,TRUE,Postpaid
119,Airtel 399,299,56,1,300,TRUE,Prepaid
120,Airtel 199,299,28,1,200,TRUE,Postpaid
121,Airtel 199,199,28,1.5,300,FALSE,Postpaid
122,Airtel 199,599,28,1,200,FALSE,Prepaid
123,Airtel 499,299,28,1.5,300,TRUE,Postpaid
124,Airtel 399,599,56,3,200,FALSE,Postpaid
125,Airtel 499,499,56,1,300,TRUE,Prepaid
126,Airtel 199,299,84,2,300,TRUE,Postpaid
127,Airtel 199,199,56,2,300,FALSE,Postpaid
128,Airtel 299,599,28,1.5,200,TRUE,Prepaid
129,Airtel 499,499,84,3,300,FALSE,Prepaid
130,Airtel 299,199,84,1,100,FALSE,Prepaid
131,Airtel 199,499,56,3,200,TRUE,Prepaid
