recharge_id,customer_id,plan_id,recharge_date,expiry_date,amount,payment_mode,status
1,3099,5684,24-12-2023,06-01-2026,399,Card,Success
2,1380,196,22-09-2024,30-11-2025,399,UPI,Failed
3,1537,39,31-07-2024,17-12-2025,599,Card,Success
4,3051,5552,27-08-2024,14-02-2026,399,UPI,Success
5,4906,1017,29-10-2025,19-12-2025,499,Wallet,Success
6,3786,4732,03-02-2024,28-12-2025,499,NetBanking,Success
7,397,5778,24-05-2024,07-12-2025,499,Wallet,Failed
8,2091,2542,02-12-2024,14-12-2025,299,Wallet,Failed
9,4764,1893,10-01-2025,06-12-2025,499,UPI,Failed
10,839,133,24-04-2025,28-12-2025,599,NetBanking,Success
11,5605,223,13-04-2025,02-01-2026,199,Wallet,Success
12,3885,1554,01-01-2025,22-02-2026,299,Wallet,Failed
13,1558,906,06-11-2024,01-12-2025,499,UPI,Success
14,2172,2189,10-05-2024,15-12-2025,499,Card,Success
15,4400,3266,28-10-2025,10-12-2025,199,Card,Success
16,5534,5104,11-09-2024,19-02-2026,199,Wallet,Success
17,1872,81,04-03-2024,20-02-2026,499,UPI,Failed
18,3688,3549,03-10-2025,27-01-2026,199,Card,Success
19,5455,4823,09-09-2025,31-12-2025,299,NetBanking,Failed
20,2488,3420,30-11-2023,04-12-2025,399,UPI,Success
21,3220,3437,02-04-2024,25-01-2026,399,Wallet,Failed
22,792,1825,21-09-2024,09-01-2026,399,Wallet,Failed
23,4761,4434,14-06-2025,12-02-2026,299,Card,Failed
24,556,4556,17-07-2024,22-12-2025,499,Card,Success
25,3755,1319,13-03-2024,30-11-2025,199,NetBanking,Failed
26,674,5710,17-02-2024,05-02-2026,199,Card,Failed
27,5933,4580,13-10-2024,23-01-2026,599,UPI,Failed
28,2742,2302,29-01-2025,25-01-2026,599,UPI,Success
29,3900,3764,15-07-2025,04-02-2026,399,UPI,Success
30,4064,2074,29-08-2025,22-02-2026,599,Card,Success
31,582,4476,14-12-2024,25-01-2026,399,Wallet,Failed
32,3028,3772,01-05-2025,18-12-2025,299,Card,Failed
33,5637,3217,25-02-2025,17-02-2026,199,NetBanking,Failed
34,3703,4245,27-07-2025,18-01-2026,399,UPI,Failed
35,5564,2959,19-11-2025,20-02-2026,399,NetBanking,Success
36,2224,5647,08-02-2025,24-02-2026,299,Wallet,Success
37,1087,3612,25-12-2023,17-12-2025,299,Card,Success
38,5671,2455,03-04-2025,07-02-2026,399,UPI,Failed
39,3939,97,18-04-2024,06-12-2025,199,NetBanking,Failed
40,5700,3714,25-11-2025,24-02-2026,399,Wallet,Success
41,2636,1647,02-08-2025,10-02-2026,199,NetBanking,Failed
42,805,4702,17-02-2024,20-12-2025,399,UPI,Success
43,144,5957,14-06-2025,03-01-2026,199,Card,Failed
44,5936,5614,05-04-2024,09-12-2025,199,NetBanking,Failed
45,1472,2063,18-03-2024,08-01-2026,399,NetBanking,Failed
46,4299,563,06-03-2025,22-02-2026,499,NetBanking,Failed
47,3387,4461,07-11-2025,06-12-2025,499,NetBanking,Failed
48,3088,5545,20-05-2024,21-02-2026,399,Card,Success
49,3217,2220,07-12-2023,16-01-2026,499,NetBanking,Failed
50,5671,2608,09-11-2024,19-12-2025,399,NetBanking,Success
51,5624,5402,22-04-2024,29-11-2025,399,Card,Failed
52,1090,2004,20-09-2024,25-12-2025,399,Card,Failed
53,3964,790,26-04-2024,24-02-2026,299,NetBanking,Success
54,4335,2189,22-07-2024,17-02-2026,299,NetBanking,Success
55,1347,3682,30-06-2024,15-02-2026,599,UPI,Failed
56,4702,5176,06-04-2025,30-11-2025,499,Wallet,Success
57,2142,1640,20-07-2024,09-01-2026,299,UPI,Failed
58,2894,2981,29-11-2023,03-02-2026,399,NetBanking,Success
59,5988,1957,16-04-2024,11-02-2026,199,Wallet,Success
60,2860,1124,25-06-2024,19-01-2026,299,UPI,Failed
61,970,4685,20-12-2023,08-01-2026,499,NetBanking,Success
62,526,4442,18-01-2025,10-01-2026,399,Card,Failed
63,1321,1206,22-11-2024,23-12-2025,399,UPI,Failed
64,449,2907,04-04-2025,13-02-2026,599,UPI,Success
65,397,676,23-10-2024,14-01-2026,399,Card,Failed
66,4260,760,08-10-2025,02-02-2026,299,Card,Success
67,1850,3619,02-06-2024,21-01-2026,599,NetBanking,Success
68,3647,3547,18-05-2024,28-12-2025,199,Wallet,Success
69,3466,5290,09-12-2023,01-02-2026,399,Wallet,Success
70,2230,5251,30-08-2025,17-02-2026,499,NetBanking,Failed
71,2258,2050,10-11-2025,28-11-2025,599,Card,Success
72,5678,4637,05-02-2024,14-02-2026,499,Wallet,Failed
73,3419,2801,04-08-2025,15-12-2025,499,Wallet,Success
74,3610,4201,14-04-2025,05-02-2026,399,Wallet,Success
75,3419,4468,16-09-2024,09-02-2026,599,NetBanking,Failed
76,347,3732,03-05-2024,15-02-2026,299,UPI,Success
77,2451,974,27-02-2025,23-02-2026,399,Wallet,Failed
78,3021,1519,23-05-2024,04-02-2026,599,NetBanking,Failed
