usage_id,customer_id,usage_date,data_used_gb,call_minutes,sms_count,roaming,network_type
1,4055,14-09-2025,1.79,18,9,FALSE,4G
2,5684,04-07-2025,0.57,27,28,TRUE,5G
3,4367,10-11-2025,2.57,40,11,TRUE,5G
4,5063,09-01-2025,1.45,110,35,TRUE,5G
5,4712,02-01-2025,1.61,70,27,FALSE,4G
6,5650,07-08-2025,1.56,5,35,FALSE,5G
7,4071,16-10-2025,1.83,83,22,TRUE,4G
8,2561,30-08-2025,2.47,115,24,FALSE,5G
9,1463,18-12-2024,1.05,109,14,FALSE,4G
10,4301,14-01-2025,0.82,103,37,FALSE,5G
11,465,09-09-2025,0.89,112,14,FALSE,5G
12,1657,21-08-2025,0.41,34,4,FALSE,5G
13,3389,04-04-2025,2.04,1,8,TRUE,4G
14,4488,27-01-2025,2.39,68,41,TRUE,5G
15,3695,13-05-2025,0.21,51,36,FALSE,5G
16,364,15-12-2024,1.01,26,13,FALSE,4G
17,5704,17-07-2025,2.49,9,4,FALSE,5G
18,4430,14-04-2025,2.6,11,42,FALSE,4G
19,5892,26-04-2025,2.55,97,5,FALSE,4G
20,3334,17-08-2025,2.81,109,49,TRUE,5G
21,679,28-11-2024,2.6,72,25,FALSE,4G
22,2880,17-05-2025,0.57,105,37,FALSE,5G
23,3621,19-04-2025,2.43,50,5,TRUE,4G
24,4273,17-03-2025,2.91,14,2,FALSE,4G
25,625,14-09-2025,2.58,46,48,FALSE,5G
26,2200,06-04-2025,1.83,61,49,FALSE,5G
27,195,16-10-2025,2.04,42,1,FALSE,4G
28,5919,20-10-2025,0.2,19,45,FALSE,5G
29,4401,25-02-2025,0.28,53,36,TRUE,5G
30,1499,18-03-2025,1.09,73,39,FALSE,4G
31,705,21-08-2025,1.68,94,34,TRUE,5G
32,2882,15-06-2025,0.56,37,41,FALSE,5G
33,5909,28-12-2024,0.69,105,47,TRUE,4G
34,1740,19-01-2025,1.48,57,23,TRUE,4G
35,2828,04-03-2025,2.98,101,8,FALSE,4G
36,3084,08-11-2025,2,17,46,FALSE,5G
37,2544,20-06-2025,0.13,20,0,FALSE,5G
38,153,09-04-2025,1.67,11,32,TRUE,5G
39,196,09-08-2025,0.25,73,36,TRUE,4G
40,1328,25-01-2025,1.75,8,32,TRUE,4G
41,1125,17-09-2025,0.71,74,31,TRUE,4G
42,2009,24-07-2025,2.79,83,9,FALSE,5G
43,4511,10-07-2025,2.23,74,31,FALSE,5G
44,3596,12-09-2025,2.05,101,33,FALSE,4G
45,5713,15-06-2025,2.28,35,40,TRUE,4G
46,5740,21-08-2025,2.89,112,23,TRUE,5G
47,2677,24-03-2025,1.58,45,43,TRUE,4G
48,688,04-06-2025,2.72,37,11,TRUE,4G
49,4585,05-08-2025,1.31,119,31,TRUE,5G
50,3004,30-11-2024,0.96,50,8,TRUE,5G
51,1354,15-02-2025,1.96,113,25,TRUE,5G
52,3453,11-10-2025,1.17,38,5,TRUE,5G
53,3364,28-04-2025,0.77,101,32,FALSE,5G
54,2720,14-09-2025,2.44,64,17,TRUE,5G
55,3527,05-03-2025,1.62,13,43,FALSE,4G
56,1414,13-08-2025,2.67,73,34,FALSE,5G
57,1745,29-06-2025,2.3,115,44,TRUE,5G
58,169,29-10-2025,1.27,35,5,TRUE,5G
59,4643,22-08-2025,1.36,29,42,FALSE,4G
60,61,25-11-2025,1,93,28,TRUE,4G
61,5157,21-08-2025,0.63,83,34,TRUE,4G
62,1973,16-09-2025,1.51,32,9,TRUE,4G
63,2025,11-09-2025,1.14,69,45,FALSE,5G
64,5604,06-01-2025,0.13,3,40,TRUE,5G
65,3081,25-01-2025,0.7,65,24,FALSE,4G
66,4455,18-03-2025,2.65,83,10,TRUE,5G
67,3188,14-05-2025,2.38,27,41,TRUE,4G
68,2251,29-11-2024,0.81,12,32,TRUE,4G
69,784,13-03-2025,1.22,81,13,TRUE,4G
70,1143,23-10-2025,0.63,80,43,FALSE,4G
71,2928,23-05-2025,2.12,103,18,FALSE,5G
72,923,07-02-2025,2.19,74,0,TRUE,5G
73,1781,22-06-2025,1.46,39,41,FALSE,5G
74,4582,03-12-2024,0.67,34,41,TRUE,4G
75,5301,23-12-2024,1.52,53,35,FALSE,5G
76,412,21-08-2025,2.04,82,40,FALSE,4G
77,2389,27-10-2025,2.66,66,5,FALSE,4G
78,5355,24-07-2025,1.17,40,8,FALSE,5G
79,4190,09-07-2025,2.55,73,4,FALSE,4G
80,4233,22-02-2025,0.28,20,35,TRUE,5G
81,2257,26-02-2025,0.46,43,44,TRUE,4G
82,923,11-04-2025,2.57,13,39,TRUE,4G
83,5169,18-08-2025,0.62,14,12,TRUE,5G
84,5889,18-01-2025,1.72,5,44,FALSE,5G
85,4705,15-02-2025,1.87,110,14,TRUE,4G
86,3085,24-11-2025,2.83,105,47,FALSE,4G
87,3548,24-04-2025,1.58,46,13,FALSE,4G
88,1529,05-12-2024,2.99,73,27,TRUE,4G
89,5785,28-02-2025,1.31,58,48,FALSE,4G
90,4323,18-09-2025,2.57,40,40,TRUE,5G
91,461,12-06-2025,1.7,104,34,TRUE,4G
92,4218,10-03-2025,0.92,88,11,TRUE,4G
93,1660,09-06-2025,2.53,84,12,FALSE,4G
94,4086,24-12-2024,0.26,25,41,TRUE,4G
95,1174,13-02-2025,1.57,54,26,FALSE,4G
96,2778,05-07-2025,2.16,98,18,FALSE,5G
97,1555,05-01-2025,2.29,77,2,TRUE,5G
98,2841,29-11-2024,1.89,17,3,FALSE,4G
99,428,15-06-2025,1.43,5,23,FALSE,4G
100,5312,15-08-2025,1.39,83,46,FALSE,4G
101,1672,19-01-2025,2.58,24,42,TRUE,4G
102,5178,05-07-2025,0.69,95,39,FALSE,4G
103,2608,10-06-2025,2.15,33,31,TRUE,5G
104,4200,21-04-2025,2.03,74,10,FALSE,5G
105,490,21-08-2025,1.96,44,14,FALSE,4G
106,1080,14-08-2025,2.53,11,2,TRUE,5G
107,5267,08-09-2025,2.99,97,27,TRUE,4G
108,3096,08-05-2025,1.07,1,1,FALSE,4G
109,1933,02-08-2025,1.24,2,42,FALSE,5G
110,3761,15-10-2025,0.26,76,1,TRUE,5G
111,2975,04-02-2025,1.33,8,31,FALSE,4G
112,940,06-09-2025,2.06,109,48,FALSE,4G
113,4791,06-03-2025,1,43,8,FALSE,4G
114,1184,16-10-2025,1.14,108,1,TRUE,5G
115,2601,20-02-2025,0.17,95,17,TRUE,4G
116,3141,02-01-2025,1.09,19,33,TRUE,4G
117,5582,07-10-2025,1.69,55,43,TRUE,5G
118,4916,14-04-2025,1.5,90,9,FALSE,4G
119,5817,08-06-2025,2.82,34,9,FALSE,5G
120,4913,20-07-2025,2.75,34,6,TRUE,5G
121,3886,03-02-2025,2.3,51,37,FALSE,4G
122,180,17-04-2025,1.39,2,14,TRUE,4G
123,874,29-01-2025,2.02,40,0,TRUE,4G
124,4301,04-01-2025,1.53,73,40,TRUE,4G
125,4843,12-09-2025,0.78,102,43,FALSE,4G
126,5358,11-11-2025,1.66,92,8,FALSE,4G
127,1440,06-09-2025,1.04,76,19,FALSE,4G
128,2343,05-09-2025,1.95,44,24,FALSE,5G
129,1945,10-05-2025,1.89,94,28,TRUE,4G
130,5468,20-07-2025,1.84,115,31,FALSE,5G
131,5254,08-10-2025,0.83,39,37,FALSE,5G
132,774,16-07-2025,1.93,7,42,FALSE,4G
133,736,05-03-2025,2.22,14,39,FALSE,5G
134,810,02-10-2025,0.71,87,26,TRUE,5G
135,2243,26-09-2025,0.62,86,13,FALSE,4G
136,2971,01-05-2025,0.23,41,45,TRUE,4G
137,1025,12-09-2025,1.51,118,26,FALSE,4G
138,3653,19-10-2025,0.7,45,9,TRUE,5G
139,4889,25-08-2025,0.78,94,2,TRUE,4G
